State,Name,Type,Amount,Count
2018,Peer-to-peer payments,TOTAL,425967421714.0399,202021587
2018,Recharge & bill payments,TOTAL,31364311860.394596,102290514
2018,Merchant payments,TOTAL,12433150984.830223,25175938
2018,Financial Services,TOTAL,891447809.4200314,6218596
2018,Others,TOTAL,4449556277.54975,5594554
2018,Recharge & bill payments,TOTAL,14472713558.652578,72550406
2018,Peer-to-peer payments,TOTAL,147245883542.77402,46982705
2018,Merchant payments,TOTAL,4656678915.140091,5368669
2018,Financial Services,TOTAL,815853105.1000277,3762820
2018,Others,TOTAL,4643217301.269438,5761576
2018,Recharge & bill payments,TOTAL,24351225616.36898,92033715
2018,Peer-to-peer payments,TOTAL,264767671095.31842,74558816
2018,Merchant payments,TOTAL,9052859939.339659,10613941
2018,Financial Services,TOTAL,1176991419.239996,5186569
2018,Others,TOTAL,5027454207.140578,4973199
2018,Peer-to-peer payments,TOTAL,594995709377.7327,200235002
2018,Recharge & bill payments,TOTAL,39578607327.024284,131917248
2018,Merchant payments,TOTAL,30497289208.339787,71498510
2018,Financial Services,TOTAL,868584631.5900131,5216165
2018,Others,TOTAL,5802659774.449921,8246415
2020,Peer-to-peer payments,TOTAL,3287051873253.504,916790263
2020,Merchant payments,TOTAL,405291207894.2984,672019839
2020,Recharge & bill payments,TOTAL,204262355709.72183,436172619
2020,Financial Services,TOTAL,2673063432.9600067,2531978
2020,Others,TOTAL,2789907563.6502213,5541374
2020,Peer-to-peer payments,TOTAL,2320557268853.593,693998661
2020,Merchant payments,TOTAL,231298042209.83606,566355270
2020,Recharge & bill payments,TOTAL,140373550367.1558,351300991
2020,Financial Services,TOTAL,773848137.0300016,1358171
2020,Others,TOTAL,4116905195.8207293,10027019
2020,Peer-to-peer payments,TOTAL,2243915932390.771,631031364
2020,Recharge & bill payments,TOTAL,171590686463.15784,448842692
2020,Merchant payments,TOTAL,226908226049.51398,363275861
2020,Financial Services,TOTAL,1751767444.1000087,1682062
2020,Others,TOTAL,1987466180.2098684,3779461
2020,Peer-to-peer payments,TOTAL,4474548495095.518,1249512647
2020,Merchant payments,TOTAL,684873639322.252,1127490136
2020,Recharge & bill payments,TOTAL,227875840842.1121,479784084
2020,Financial Services,TOTAL,3259168195.749941,2942567
2020,Others,TOTAL,5323095366.309718,9556404
2019,Peer-to-peer payments,TOTAL,1440512511470.7004,461911865
2019,Merchant payments,TOTAL,123209398484.44376,376320628
2019,Recharge & bill payments,TOTAL,101520929811.06812,240103872
2019,Financial Services,TOTAL,617120839.9299941,2870292
2019,Others,TOTAL,6705143103.510092,13804992
2019,Peer-to-peer payments,TOTAL,887893108631.5128,404841331
2019,Recharge & bill payments,TOTAL,55473071028.87885,180504739
2019,Merchant payments,TOTAL,40575915112.522,110496541
2019,Financial Services,TOTAL,603852042.0000324,4627353
2019,Others,TOTAL,5484252454.8204155,8526177
2019,Peer-to-peer payments,TOTAL,1196425281586.9927,384711008
2019,Recharge & bill payments,TOTAL,76865848586.98372,209898072
2019,Merchant payments,TOTAL,73415840739.88434,206467182
2019,Financial Services,TOTAL,545329308.0899862,2650384
2019,Others,TOTAL,6969423863.830339,11656557
2019,Peer-to-peer payments,TOTAL,1963952535223.0903,703497002
2019,Merchant payments,TOTAL,174239646473.03162,456578271
2019,Recharge & bill payments,TOTAL,116344996244.26738,285310032
2019,Financial Services,TOTAL,551204225.4200497,2476840
2019,Others,TOTAL,4811822509.649999,12583379
2021,Merchant payments,TOTAL,1426965558783.5557,2316924871
2021,Peer-to-peer payments,TOTAL,7429357587018.912,2215575286
2021,Recharge & bill payments,TOTAL,349234592690.4992,714583744
2021,Financial Services,TOTAL,4043342762.3300233,3112160
2021,Others,TOTAL,7146868847.2897215,13558464
2021,Merchant payments,TOTAL,844466633896.8679,1467948823
2021,Peer-to-peer payments,TOTAL,5170856441552.582,1447600942
2021,Recharge & bill payments,TOTAL,260182440730.4327,530118545
2021,Financial Services,TOTAL,3573884778.5300817,3075296
2021,Others,TOTAL,5199901891.8900385,8851525
2021,Peer-to-peer payments,TOTAL,6163165772736.494,1744272888
2021,Merchant payments,TOTAL,1003530942287.5988,1499626469
2021,Recharge & bill payments,TOTAL,300559461295.9022,685024821
2021,Financial Services,TOTAL,3651996523.4499955,3397384
2021,Others,TOTAL,5598131364.820071,9061732
2021,Merchant payments,TOTAL,1995855822160.6426,3152394530
2021,Peer-to-peer payments,TOTAL,9203910371491.78,2716561423
2021,Recharge & bill payments,TOTAL,407266894783.10693,738096162
2021,Financial Services,TOTAL,5028434834.240034,4141629
2021,Others,TOTAL,9296993478.869577,14562602
2024,Merchant payments,TOTAL,7132485242978.0,15826083595
2024,Peer-to-peer payments,TOTAL,23963938754607.0,8566984108
2024,Recharge & bill payments,TOTAL,1224783540794.0,1409788062
2024,Financial Services,TOTAL,17450358563.0,10798565
2024,Others,TOTAL,8309733368.0,7361054
2024,Merchant payments,TOTAL,5962442621632.0,12520741960
2024,Peer-to-peer payments,TOTAL,22327480157794.0,7335480797
2024,Recharge & bill payments,TOTAL,1150335013422.0,1365204965
2024,Financial Services,TOTAL,11806228360.0,7419656
2024,Others,TOTAL,6518078355.0,8290191
2024,Merchant payments,TOTAL,6800938567813.0,14634736361
2024,Peer-to-peer payments,TOTAL,23817818323139.0,7929923251
2024,Recharge & bill payments,TOTAL,1179029035046.0,1443979969
2024,Financial Services,TOTAL,14501331707.0,8865844
2024,Others,TOTAL,8229697142.0,8700101
2024,Merchant payments,TOTAL,8081429560226.0,17419191808
2024,Peer-to-peer payments,TOTAL,26633866936498.0,9368204284
2024,Recharge & bill payments,TOTAL,1255972669825.0,1392529171
2024,Financial Services,TOTAL,18162331751.0,32113340
2024,Others,TOTAL,9369386297.0,7217236
2023,Merchant payments,TOTAL,4686944326058.0,9868299757
2023,Peer-to-peer payments,TOTAL,18342686827713.0,5929662466
2023,Recharge & bill payments,TOTAL,967694654180.0,1229068434
2023,Financial Services,TOTAL,8553479441.0,6273522
2023,Others,TOTAL,6397985054.0,8491944
2023,Merchant payments,TOTAL,3745994748195.0,7205999708
2023,Peer-to-peer payments,TOTAL,15924876501456.0,4792478560
2023,Recharge & bill payments,TOTAL,829952832616.0,1076952638
2023,Financial Services,TOTAL,5673343900.0,4884759
2023,Others,TOTAL,7571900579.0,10259195
2023,Merchant payments,TOTAL,4277821161887.0,8529595637
2023,Peer-to-peer payments,TOTAL,17722778868673.0,5374546962
2023,Recharge & bill payments,TOTAL,904758857308.0,1190947064
2023,Financial Services,TOTAL,6364033676.0,5195942
2023,Others,TOTAL,6919677602.0,9341245
2023,Merchant payments,TOTAL,5419672580085.0,11107996161
2023,Peer-to-peer payments,TOTAL,20533815852133.0,6643982862
2023,Recharge & bill payments,TOTAL,1077506924551.0,1247192050
2023,Financial Services,TOTAL,9998159518.0,7517384
2023,Others,TOTAL,6391200449.0,8651416
2022,Merchant payments,TOTAL,3151614767860.314,5618132071
2022,Peer-to-peer payments,TOTAL,12837803371386.29,3957113406
2022,Recharge & bill payments,TOTAL,607048699730.3645,956164949
2022,Financial Services,TOTAL,4514223164.469998,3959631
2022,Others,TOTAL,6725900102.770244,10005043
2022,Merchant payments,TOTAL,2272818129376.5205,3748851071
2022,Peer-to-peer payments,TOTAL,10505936803336.926,3074250150
2022,Recharge & bill payments,TOTAL,447599848131.41187,749674246
2022,Financial Services,TOTAL,4921211866.489969,4035100
2022,Others,TOTAL,8422766458.459174,16393502
2022,Merchant payments,TOTAL,2847096877386.341,4765203787
2022,Peer-to-peer payments,TOTAL,12123524700463.535,3506141323
2022,Recharge & bill payments,TOTAL,523046092987.93964,845751926
2022,Financial Services,TOTAL,3889787479.819907,3272822
2022,Others,TOTAL,6711034131.16017,11241480
2022,Merchant payments,TOTAL,3673601044800.037,6565690145
2022,Peer-to-peer payments,TOTAL,14578874324207.227,4459859921
2022,Recharge & bill payments,TOTAL,649776847580.25,991049281
2022,Financial Services,TOTAL,5360528394.309982,4623387
2022,Others,TOTAL,7361492606.590162,10013085
