State,District,Amount,Count
2018,puducherry,417658075.4942067,190271
2018,tamil nadu,29330092241.18405,15774078
2018,uttar pradesh,37012114369.23937,26515356
2018,madhya pradesh,24149742204.67322,17126985
2018,andhra pradesh,35718044599.21416,25626061
2018,tripura,453863388.04059243,377703
2018,lakshadweep,4339032.3119858485,1703
2018,manipur,383331244.79412293,189258
2018,maharashtra,52260817733.24835,31538538
2018,dadra & nagar haveli & daman & diu,447639595.67817545,289575
2018,meghalaya,209853661.53439403,110290
2018,andaman & nicobar islands,55557471.13431113,16265
2018,haryana,16375139007.627964,8262024
2018,rajasthan,24040768671.212967,14257098
2018,ladakh,84090977.14484604,24864
2018,punjab,7065687043.821184,3462108
2018,assam,3811134989.9142647,2351851
2018,jharkhand,8661571417.704563,8122621
2018,odisha,23094515775.585766,30052155
2018,bihar,20135804378.90174,14367804
2018,kerala,5323025223.875498,3134348
2018,karnataka,48225091755.80772,25980261
2018,chandigarh,1369354447.5343118,616936
2018,telangana,32030093209.72354,19332703
2018,himachal pradesh,1754041432.858025,886754
2018,west bengal,41843934183.177635,53705416
2018,gujarat,17866404426.27552,11334149
2018,sikkim,235080226.95331776,108500
2018,nagaland,241792742.9366532,94371
2018,mizoram,116600738.12539022,39316
2018,chhattisgarh,6302307073.446348,3859604
2018,jammu & kashmir,3934700999.457677,2303961
2018,goa,713166969.2382338,339511
2018,arunachal pradesh,331726406.7413912,131146
2018,delhi,27375846860.618515,18547048
2018,uttarakhand,3726573039.8585143,2229132
2018,puducherry,165825971.36983618,104212
2018,tamil nadu,11261557697.516891,6726622
2018,uttar pradesh,13939970923.223106,12537805
2018,madhya pradesh,8681603403.446348,8025395
2018,andhra pradesh,11996276391.823706,9039585
2018,tripura,137978914.53062224,148157
2018,lakshadweep,1928611.1808777403,778
2018,manipur,128046173.93020926,84069
2018,maharashtra,21711613257.725674,16387034
2018,dadra & nagar haveli & daman & diu,175658384.10921687,148549
2018,meghalaya,66250259.78990036,49571
2018,andaman & nicobar islands,14631761.22198579,6658
2018,haryana,6793511514.660528,4480770
2018,rajasthan,8926293130.726837,7591690
2018,ladakh,12532857.771114783,6089
2018,punjab,2780758224.854389,1870433
2018,assam,1157804456.212469,1056881
2018,jharkhand,2374186389.9194,2178921
2018,odisha,4627632210.887628,5809821
2018,bihar,6045758172.017314,5824302
2018,kerala,2402674753.100502,1771380
2018,karnataka,19217895314.012802,12016899
2018,chandigarh,613435420.8676233,381895
2018,telangana,13308204118.542435,8522766
2018,himachal pradesh,628737806.3723404,481918
2018,west bengal,10625978552.140453,11710225
2018,gujarat,7577982255.034092,5948775
2018,sikkim,64650938.94036834,44078
2018,nagaland,78005891.08612517,42845
2018,mizoram,45227219.975790836,18561
2018,chhattisgarh,2149155557.2367463,1891514
2018,jammu & kashmir,1005371239.2561305,941568
2018,goa,303856742.34308386,160897
2018,arunachal pradesh,92387336.00940911,45497
2018,delhi,11211503806.91996,7122754
2018,uttarakhand,1508545358.5238864,1246685
2018,puducherry,285801119.5324367,130261
2018,tamil nadu,20125844276.267662,9992128
2018,uttar pradesh,25720201695.701435,17710943
2018,madhya pradesh,15924081066.680986,10561412
2018,andhra pradesh,22883914272.633617,12353918
2018,tripura,236891718.7161358,214559
2018,lakshadweep,6187809.539400538,2132
2018,manipur,253209721.319494,151721
2018,maharashtra,36357057241.12254,22285740
2018,dadra & nagar haveli & daman & diu,302070771.6561514,202626
2018,meghalaya,117004667.8418316,67857
2018,andaman & nicobar islands,28338535.507953547,11340
2018,haryana,11320414442.116663,6150931
2018,rajasthan,15559086175.75962,9973697
2018,ladakh,47334902.5377415,15010
2018,punjab,4684672212.007125,2581163
2018,assam,2350585135.537811,1663873
2018,jharkhand,4721575659.062912,3152080
2018,odisha,8488310339.620239,8158144
2018,bihar,13506131109.672922,8632378
2018,kerala,3886923343.44263,2308165
2018,karnataka,33515580081.29709,17116447
2018,chandigarh,961223261.74473,479084
2018,telangana,23017201517.652737,10764670
2018,himachal pradesh,1183169301.3511178,687695
2018,west bengal,18629183470.204285,18082446
2018,gujarat,12162684771.641388,7745733
2018,sikkim,143693085.52979562,74578
2018,nagaland,153325577.88030174,65599
2018,mizoram,83508405.55773437,27051
2018,chhattisgarh,4264170443.1617327,2816156
2018,jammu & kashmir,2651206236.5028934,1796326
2018,goa,478603825.35861486,229575
2018,arunachal pradesh,198970192.34204656,82157
2018,delhi,17446299902.205147,9373723
2018,uttarakhand,2679755378.5510764,1704122
2018,puducherry,625691665.4234949,307964
2018,tamil nadu,43302073975.890976,22457444
2018,uttar pradesh,55096743575.91497,36100767
2018,madhya pradesh,33905608072.964783,21397555
2018,andhra pradesh,51473779406.840416,30759548
2018,tripura,624885599.4644469,448059
2018,lakshadweep,4463213.698222831,1642
2018,manipur,605683559.3060112,236110
2018,maharashtra,79518937047.82959,46090223
2018,dadra & nagar haveli & daman & diu,658750616.8008878,404082
2018,meghalaya,337585679.00467324,161132
2018,andaman & nicobar islands,90548336.07445517,23758
2018,haryana,25390876016.455025,12950183
2018,rajasthan,37909087083.33885,20959723
2018,ladakh,135522842.49263746,35211
2018,punjab,10781982573.649624,4887137
2018,assam,5888022859.01307,3734172
2018,jharkhand,10241916641.12223,6284043
2018,odisha,23429869571.55922,21142798
2018,bihar,28397997168.57623,15732401
2018,kerala,7747361236.812299,4310654
2018,karnataka,73008386576.05942,44812071
2018,chandigarh,2032591591.779975,905116
2018,telangana,49509088448.04927,28921154
2018,himachal pradesh,2621298968.1392584,1307883
2018,west bengal,40489619211.70402,36513548
2018,gujarat,24830987102.78186,14733303
2018,sikkim,383141358.07825375,154533
2018,nagaland,388013467.5456239,139333
2018,mizoram,190426852.52952954,55242
2018,chhattisgarh,9416412664.971258,5365844
2018,jammu & kashmir,5664720265.697432,2721310
2018,goa,1153005078.9224057,514755
2018,arunachal pradesh,504040029.0917605,176429
2018,delhi,39722857618.706436,29187719
2018,uttarakhand,5654272137.963844,3178761
2020,puducherry,3598080229.434597,1730902
2020,tamil nadu,143841415498.65747,70277825
2020,uttar pradesh,248689955423.05322,127405259
2020,madhya pradesh,205701679984.53757,108579881
2020,andhra pradesh,467084130584.93884,204902935
2020,tripura,2341819516.215885,1317885
2020,lakshadweep,21306833.308656827,8589
2020,manipur,4615976120.870485,1420168
2020,maharashtra,440307079012.4761,268310924
2020,dadra & nagar haveli & daman & diu,1749789114.9993598,1138312
2020,meghalaya,1237059001.3830369,597579
2020,andaman & nicobar islands,338019446.3303601,117483
2020,haryana,109567950445.72871,57938179
2020,rajasthan,293678306162.4698,149088676
2020,ladakh,835487500.058193,228222
2020,punjab,40123092147.81354,17209573
2020,assam,29831391259.543846,12397711
2020,jharkhand,50622615820.01348,27068473
2020,odisha,122463943804.29193,66033829
2020,bihar,173328865111.8144,71503748
2020,kerala,40164150651.95372,21758680
2020,karnataka,470740515696.6945,300360531
2020,chandigarh,5089809353.36507,2158086
2020,telangana,505961144755.88367,236372126
2020,himachal pradesh,10516054014.086905,5489876
2020,west bengal,156813355855.1383,79954504
2020,gujarat,111921752484.70932,59290179
2020,sikkim,1400926728.6603994,596435
2020,nagaland,2009649143.1547942,736319
2020,mizoram,707944175.5046022,254703
2020,chhattisgarh,41526744807.53401,24148539
2020,jammu & kashmir,11977229760.872362,3465898
2020,goa,3368343580.9446573,1915531
2020,arunachal pradesh,2609938565.55822,962827
2020,delhi,175163962804.6604,96491861
2020,uttarakhand,22103510968.006454,11818935
2020,puducherry,2205277477.079584,1207921
2020,tamil nadu,116569686179.4346,66953473
2020,uttar pradesh,172416434960.69037,97239132
2020,madhya pradesh,126737281436.18526,79366746
2020,andhra pradesh,252737214289.0485,127677357
2020,tripura,1588778806.3885012,924502
2020,lakshadweep,13502368.57450421,5151
2020,manipur,2598590380.8769474,818801
